Data,Wartość dla NN (L) Spółek Dywidendowych USA (A),Waluta
2013-01-03,131.56,PLN
2013-01-04,132.10,PLN
2013-01-07,131.65,PLN
2013-01-08,131.31,PLN
2013-01-09,131.62,PLN
2013-01-10,132.48,PLN
2013-01-11,132.27,PLN
2013-01-14,132.66,PLN
2013-01-15,132.76,PLN
2013-01-16,132.72,PLN
2013-01-17,133.39,PLN
2013-01-18,133.65,PLN
2013-01-21,133.63,PLN
2013-01-22,134.40,PLN
2013-01-23,134.05,PLN
2013-01-24,134.09,PLN
2013-01-25,134.43,PLN
2013-01-28,134.48,PLN
2013-01-29,135.22,PLN
2013-01-30,134.81,PLN
2013-01-31,134.83,PLN
2013-02-01,135.50,PLN
2013-02-04,134.64,PLN
2013-02-05,135.53,PLN
2013-02-06,136.07,PLN
2013-02-07,136.34,PLN
2013-02-08,136.58,PLN
2013-02-11,136.56,PLN
2013-02-12,137.09,PLN
2013-02-13,136.90,PLN
2013-02-14,138.40,PLN
2013-02-15,138.16,PLN
2013-02-18,138.14,PLN
2013-02-19,138.84,PLN
2013-02-20,137.73,PLN
2013-02-21,137.68,PLN
2013-02-22,138.98,PLN
2013-02-25,137.67,PLN
2013-02-26,138.43,PLN
2013-02-27,139.26,PLN
2013-02-28,139.54,PLN
2013-03-01,139.56,PLN
2013-03-04,139.51,PLN
2013-03-05,140.24,PLN
2013-03-06,140.34,PLN
2013-03-07,140.28,PLN
2013-03-08,140.72,PLN
2013-03-11,140.76,PLN
2013-03-12,141.06,PLN
2013-03-13,141.07,PLN
2013-03-14,141.68,PLN
2013-03-15,141.90,PLN
2013-03-18,141.74,PLN
2013-03-19,141.87,PLN
2013-03-20,142.70,PLN
2013-03-21,142.31,PLN
2013-03-22,143.24,PLN
2013-03-25,143.08,PLN
2013-03-26,144.09,PLN
2013-03-27,144.33,PLN
2013-03-28,145.15,PLN
2013-04-02,144.80,PLN
2013-04-03,143.80,PLN
2013-04-04,144.32,PLN
2013-04-05,143.85,PLN
2013-04-08,144.18,PLN
2013-04-09,144.65,PLN
2013-04-10,145.80,PLN
2013-04-11,145.87,PLN
2013-04-12,145.31,PLN
2013-04-15,143.16,PLN
2013-04-17,142.93,PLN
2013-04-18,142.90,PLN
2013-04-19,143.56,PLN
2013-04-22,143.85,PLN
2013-04-23,144.60,PLN
2013-04-24,145.02,PLN
2013-04-25,145.72,PLN
2013-04-26,145.64,PLN
2013-04-29,146.58,PLN
2013-04-30,147.22,PLN
2013-05-02,147.53,PLN
2013-05-06,148.18,PLN
2013-05-07,148.72,PLN
2013-05-08,149.16,PLN
2013-05-09,148.70,PLN
2013-05-10,149.02,PLN
2013-05-13,148.75,PLN
2013-05-14,149.47,PLN
2013-05-15,149.83,PLN
2013-05-16,149.55,PLN
2013-05-17,150.06,PLN
2013-05-20,149.98,PLN
2013-05-21,150.26,PLN
2013-05-22,149.44,PLN
2013-05-23,149.76,PLN
2013-05-24,149.76,PLN
2013-05-27,149.73,PLN
2013-05-28,150.10,PLN
2013-05-29,149.31,PLN
